iter	Passed	Remaining
398	89669	45171
399	89888	44944
400	90064	44695
401	90261	44457
402	90473	44226
403	90669	43987
404	90867	43751
405	91098	43529
406	91331	43309
407	91575	43094
408	91765	42853
409	92002	42635
410	92224	42409
411	92430	42176
412	92682	41965
413	92868	41723
414	93064	41486
415	93235	41238
416	93460	41014
417	93714	40803
418	93962	40589
419	94184	40364
420	94366	40122
421	94578	39893
422	94830	39680
423	95012	39439
424	95250	39220
425	95477	38997
426	95679	38764
427	95935	38553
428	96177	38336
429	96351	38092
430	96569	37866
431	96800	37644
432	97005	37413
433	97186	37172
434	97422	36953
435	97669	36738
436	97900	36516
437	98101	36284
438	98347	36068
439	98592	35851
440	98795	35620
441	99044	35405
442	99265	35180
443	99490	34956
444	99715	34732
445	99933	34506
446	100156	34281
447	100405	34066
448	100589	33828
449	100821	33607
450	101016	33373
451	101252	33153
452	101511	32940
453	101817	32743
454	102061	32525
455	102305	32306
456	102515	32078
457	102807	31874
458	103093	31669
459	103314	31443
460	103524	31214
461	103750	30990
462	103958	30760
463	104177	30534
464	104413	30313
465	104629	30086
466	104841	29858
467	105023	29622
468	105209	29386
469	105424	29159
470	105674	28942
471	105895	28717
472	106102	28488
473	106329	28264
474	106564	28043
475	106783	27817
476	106958	27580
477	107144	27346
478	107378	27124
479	107608	26902
480	107806	26671
481	107987	26436
482	108210	26212
483	108402	25980
484	108577	25745
485	108747	25508
486	108989	25289
487	109217	25066
488	109442	24842
489	109649	24615
490	109837	24383
491	110052	24157
492	110247	23927
493	110461	23702
494	110665	23474
495	110896	23252
496	111133	23031
497	111367	22810
498	111633	22595
499	111821	22364
500	112059	22143
501	112305	21924
502	112540	21702
503	112775	21480
504	112957	21249
505	113193	21028
506	113439	20808
507	113619	20576
508	113884	20360
509	114130	20140
510	114333	19913
511	114568	19691
512	114795	19468
513	115017	19244
514	115247	19021
515	115436	18791
516	115606	18559
517	115786	18329
518	115969	18099
519	116148	17869
520	116378	17646
521	116595	17422
522	116834	17201
523	117057	16977
524	117256	16750
525	117501	16530
526	117682	16301
527	117864	16072
528	118120	15853
529	118373	15634
530	118591	15410
531	118779	15182
532	118988	14957
533	119202	14732
534	119455	14513
535	119651	14286
536	119822	14057
537	120059	13835
538	120249	13608
539	120461	13384
540	120680	13161
541	120910	12938
542	121126	12714
543	121327	12489
544	121524	12263
545	121724	12038
546	121986	11819
547	122217	11597
548	122423	11372
549	122665	11151
550	122847	10924
551	123031	10698
552	123216	10472
553	123484	10253
554	123711	10030
555	123952	9809
556	124148	9584
557	124380	9361
558	124646	9142
559	124855	8918
560	125128	8698
561	125331	8474
562	125548	8250
563	125782	8028
564	125968	7803
565	126165	7578
566	126362	7354
567	126585	7131
568	126817	6909
569	127049	6686
570	127282	6464
571	127505	6241
572	127712	6017
573	127950	5795
574	128185	5573
575	128389	5349
576	128661	5128
577	128859	4904
578	129039	4680
579	129220	4455
580	129420	4232
581	129596	4008
582	129760	3783
583	129970	3560
584	130235	3339
585	130428	3116
586	130637	2893
587	130849	2670
588	131072	2447
589	131262	2224
590	131457	2001
591	131683	1779
592	131872	1556
593	132095	1334
594	132294	1111
595	132538	889
596	132753	667
597	132945	444
598	133181	222
599	133391	0
