iter	RMSE
260	0.1178232479
261	0.1178126383
262	0.1178042839
263	0.1177968858
264	0.1177274077
265	0.1176627317
266	0.1176003568
267	0.117527341
268	0.1174548089
269	0.1173882803
270	0.1173256574
271	0.1173040979
272	0.1172409667
273	0.1171726617
274	0.1171636769
275	0.1170572955
276	0.1170036351
277	0.1169009656
278	0.1168306565
279	0.1167281717
280	0.1166145201
281	0.1165378303
282	0.1164532601
283	0.1164456061
284	0.1163880378
285	0.1163799425
286	0.1163010346
287	0.1162928822
288	0.1162276557
289	0.1161422661
290	0.1160730354
291	0.1160655882
292	0.1159836874
293	0.1158857733
294	0.115807835
295	0.1157070289
296	0.1156379014
297	0.1155815885
298	0.1155094453
299	0.115423263
300	0.1153443896
301	0.1153310299
302	0.115324187
303	0.1153170743
304	0.115225613
305	0.1151207174
306	0.1151103122
307	0.115050153
308	0.1150437549
309	0.1149613869
310	0.1149512181
311	0.1148939846
312	0.1148645306
313	0.1147440293
314	0.1146793297
315	0.1146219119
316	0.1145377889
317	0.1144295897
318	0.1143793288
319	0.1143064984
320	0.1142092593
321	0.1141349573
322	0.1140797166
323	0.1140738169
324	0.1140681707
325	0.1140136414
326	0.1139259762
327	0.1138362226
328	0.1138307988
329	0.1137314448
330	0.1136811078
331	0.113672314
332	0.1136021916
333	0.1135349941
334	0.1134611693
335	0.1134058732
336	0.1133099003
337	0.1132058399
338	0.1131666773
339	0.1131611109
340	0.1131559558
341	0.1131493693
342	0.1130535288
343	0.1130054827
344	0.1129453356
345	0.112873238
346	0.1128601796
347	0.1127960966
348	0.1127473425
349	0.1126599639
350	0.1126181652
351	0.1125471683
352	0.1124483168
353	0.1124106008
354	0.112365627
355	0.112286194
356	0.1121896524
357	0.1121694455
358	0.1121235795
359	0.1121186871
360	0.1120459095
361	0.11198162
362	0.1119311964
363	0.1118974994
364	0.111887516
365	0.1118588246
366	0.1117746965
367	0.1117661036
368	0.1116953152
369	0.1115516957
370	0.1114616568
371	0.1113900142
372	0.1113503438
373	0.1112844944
374	0.1112767569
375	0.1112067165
376	0.1111480251
377	0.1111424156
378	0.1110460052
379	0.1109790123
380	0.1109116226
381	0.1108436519
382	0.1107845343
383	0.1107390087
384	0.1106830612
385	0.1106768484
386	0.1106695465
387	0.1106067988
388	0.1105579897
389	0.1105380303
390	0.1105311652
391	0.1104600818
392	0.1104536404
393	0.1103848961
394	0.1103332264
395	0.1102887411
396	0.1102127437
397	0.1102081891
398	0.1101640143
399	0.1100859473
400	0.1100699589
401	0.1100499809
402	0.1100153953
403	0.1099909101
404	0.1099591752
405	0.1098868755
406	0.1098225288
407	0.109707145
408	0.1096991492
409	0.109628234
410	0.1095764781
411	0.1095253649
412	0.1094543524
413	0.1094470554
414	0.1094118837
415	0.1094065277
416	0.1093392989
417	0.1092806723
418	0.1092305778
419	0.10919159
420	0.109154883
421	0.1090954195
422	0.1090432314
423	0.1090138535
424	0.1089291452
425	0.1088528344
426	0.1088367247
427	0.1087673022
428	0.1087076265
429	0.1087036412
430	0.1086634005
431	0.1086248138
432	0.1085784373
433	0.1085703086
434	0.1084986006
435	0.1084257264
436	0.1083849327
437	0.108342254
438	0.108259639
439	0.1081764665
440	0.1081703671
441	0.108056457
442	0.1080118927
443	0.1079629046
444	0.1079039807
445	0.1078845693
446	0.107809014
447	0.1077435145
448	0.1077031302
449	0.1076411493
450	0.107598122
451	0.1075543562
452	0.1074784605
453	0.1073666734
454	0.1073283318
455	0.1072650546
456	0.1072356842
457	0.1071422117
458	0.107054172
459	0.1070041637
460	0.1069440476
461	0.1069095017
462	0.1068565783
463	0.1067819999
464	0.1067266016
465	0.1066566528
466	0.1066196813
467	0.1066123517
468	0.1065877157
469	0.1065026142
470	0.10643011
471	0.10640364
472	0.1063758716
473	0.1063199363
474	0.1062362515
475	0.1061972502
476	0.1061901925
477	0.1061706889
478	0.1060859465
479	0.1060286277
480	0.1059869202
481	0.1059760394
482	0.1059377671
483	0.1059004713
484	0.1058926278
485	0.1058831911
486	0.1057931485
487	0.1057148841
488	0.105600063
489	0.105577671
490	0.1055604865
491	0.1054991082
492	0.1054728923
493	0.1054289872
494	0.1053857635
495	0.1053442699
496	0.105302582
497	0.1052531553
498	0.1051777598
499	0.1051738371
500	0.1050896992
501	0.1050258041
502	0.10494918
503	0.1048916943
504	0.1048694236
505	0.1048162681
506	0.1047447201
507	0.1047257888
508	0.1046522268
509	0.1045592932
510	0.1045237123
511	0.1044647923
512	0.1044245962
513	0.104345349
514	0.1043101101
515	0.1043004959
516	0.104296511
517	0.104268816
518	0.1042653774
519	0.1042296363
520	0.1041706577
521	0.1041290268
522	0.1040612576
523	0.10401105
524	0.1039706432
525	0.1038995669
526	0.1038755766
527	0.1038514462
528	0.1037860051
529	0.1037355962
530	0.1036893023
531	0.1036547339
532	0.1035967003
533	0.1035540229
534	0.1034972469
535	0.1034741168
536	0.1034682697
537	0.1034047484
538	0.1033606321
539	0.1033513602
540	0.103313442
541	0.1032549451
542	0.1032043855
543	0.1031699344
544	0.1031413901
545	0.1031012765
546	0.103041733
547	0.1029590513
548	0.1029266248
549	0.102895594
550	0.1028907655
551	0.1028872351
552	0.1028764528
553	0.1028242164
554	0.1027740042
555	0.1027037618
556	0.1026489509
557	0.102573791
558	0.1024938494
559	0.1024809503
560	0.1024092882
561	0.1023778623
562	0.1023663661
563	0.1023089591
564	0.1022838864
565	0.1022541529
566	0.1022203339
567	0.1021885106
568	0.1021556182
569	0.102134323
570	0.1020887564
571	0.1020452294
572	0.1020164742
573	0.1019538036
574	0.1018770986
575	0.1018285249
576	0.1017539895
577	0.1017122955
578	0.1016811268
579	0.1016414738
580	0.1016179167
581	0.1016094649
582	0.101606593
583	0.1015485362
584	0.1014733678
585	0.1014359764
586	0.1014244218
587	0.1013828237
588	0.1013359034
589	0.1013275647
590	0.1012953041
591	0.1012394199
592	0.101203404
593	0.1011645626
594	0.1011431413
595	0.1010926653
596	0.1010406817
597	0.1010272933
598	0.1009910041
599	0.1009613607
